"1961-01-20 12:00 PM","","No","Day","01/20/1961: John F. Kennedy is inaugurated as the thirty-fifth…","John F. Kennedy is inaugurated as the thirty-fifth President of the United States.","John F. Kennedy"
"1961-03-01 12:00 PM","","No","Day","03/01/1961: Kennedy, fulfilling a campaign pledge, issues an e…","Kennedy, fulfilling a campaign pledge, issues an executive order creating a temporary Peace Corps and asks Congress to authorize the program permanently. He appoints Sargent Shriver to head the organization. ","John F. Kennedy"
"1961-04-12 12:00 PM","","No","Day","04/12/1961: Soviet cosmonaut Yuri Gagarin becomes the first ma…","Soviet cosmonaut Yuri Gagarin becomes the first man in space. ","John F. Kennedy"
"1961-04-15 12:00 PM","1961-04-20 12:00 PM","Yes","Day","04/15/1961: A U.S.-sponsored invasion of Cuba at the Bay of Pi…","A U.S.-sponsored invasion of Cuba at the Bay of Pigs fails. With inadequate support and facing an overwhelming force, the CIA-trained brigade of anti-Castro exiles is defeated in a few days. Kennedy takes responsibility for the disaster. ","John F. Kennedy"
"1961-05-04 12:00 PM","","No","Day","05/04/1961: Black and white youths supported by the Congress o…","Black and white youths supported by the Congress of Racial Equality (CORE) set out on the “freedom rides” to test the enforcement of ICC rules against discrimination in interstate travel. ","John F. Kennedy"
"1961-05-05 12:00 PM","","No","Day","05/05/1961: Alan Sheppard Jr. becomes the first American in sp…","Alan Sheppard Jr. becomes the first American in space. ","John F. Kennedy"
"1961-05-25 12:00 PM","","No","Day","05/25/1961: In an address to Congress, Kennedy pledges that th…","In an address to Congress, Kennedy pledges that the Unites States will land a man on the moon by the end of the decade. ","John F. Kennedy"
"1961-06-03 12:00 PM","","No","Day","06/03/1961: Kennedy meets with Soviet premier Nikita S. Khrush…","Kennedy meets with Soviet premier Nikita S. Khrushchev in Vienna. The conference fails to resolve conflict over the status of Berlin. ","John F. Kennedy"
"1961-08-13 12:00 PM","","No","Day","08/13/1961: East Germany, supported by the Soviet Union, begin…","East Germany, supported by the Soviet Union, begins construction of the Berlin Wall, halting the flow of refugees to the West. ","John F. Kennedy"
"1962-01-29 12:00 PM","","No","Day","01/29/1962: The Geneva conference, with the United States, Sov…","The Geneva conference, with the United States, Soviet Union, and the United Kingdom participating, adjourns without reaching an agreement on a nuclear test ban. ","John F. Kennedy"
"1962-02-03 12:00 PM","","No","Day","02/03/1962: Kennedy halts virtually all trade with C…","Kennedy halts virtually all trade with Cuba. ","John F. Kennedy"
"1962-02-26 12:00 PM","","No","Day","02/26/1962: The U.S. Supreme Court rules that segregation in t…","The U.S. Supreme Court rules that segregation in transportation facilities is unconstitutional. ","John F. Kennedy"
"1962-02-30 12:00 PM","","No","Day","02/30/1962: Astronaut John Glenn becomes the first American to…","Astronaut John Glenn becomes the first American to orbit the earth. ","John F. Kennedy"
"1962-03-07 12:00 PM","","No","Day","03/07/1962: Kennedy announces the reduction of U.S. import dut…","Kennedy announces the reduction of U.S. import duties as part of an agreement to promote international trade. ","John F. Kennedy"
"1962-06-15 12:00 PM","","No","Day","06/15/1962: Tom Hayden presents the “Port Huron Statement” to …","Tom Hayden presents the “Port Huron Statement” to the annual convention of Students for a Democratic Society (SDS) at Port Huron, Michigan. ","John F. Kennedy"
"1962-09-30 12:00 PM","","No","Day","09/30/1962: The U.S. Supreme Court orders the University of Mi…","The U.S. Supreme Court orders the University of Mississippi to admit James H. Meredith, its first African-American student. After Governor Ross Barnett attempts to block the admission, U.S. Marshals escort Meredith to campus while Federalized national guardsmen maintain order. ","John F. Kennedy"
"1962-10-16 12:00 PM","","No","Day","10/16/1962: Kennedy is informed of the existence of Soviet mis…","Kennedy is informed of the existence of Soviet missile installations in Cuba. ","John F. Kennedy"
"1962-10-22 12:00 PM","","No","Day","10/22/1962: Kennedy addresses the American people about the si…","Kennedy addresses the American people about the situation in Cuba and orders a navel quarantine of Cuba to prevent further shipments of weapons. ","John F. Kennedy"
"1962-10-28 12:00 PM","","No","Day","10/28/1962: After thirteen days, the Cuban Missile Crisis is r…","After thirteen days, the Cuban Missile Crisis is resolved. The United States will pledge not to invade Cub (and secretly agrees to remove missiles from Turkey), in exchange for the removal of the Soviet weapons. ","John F. Kennedy"
"1962-11-20 12:00 PM","","No","Day","11/20/1962: Kennedy lifts the naval blockade of Cuba…","Kennedy lifts the naval blockade of Cuba. ","John F. Kennedy"
"1963-03-18 12:00 PM","","No","Day","03/18/1963: The Supreme Court rules in <i>Gideon v. Wainwright…","The Supreme Court rules in <i>Gideon v. Wainwright</i> that states must supply counsel in criminal cases for individuals who cannot afford it. ","John F. Kennedy"
"1963-04-03 12:00 PM","","No","Day","04/03/1963: Martin Luther King Jr leads a civil rights drive i…","Martin Luther King Jr leads a civil rights drive in Birmingham, Alabama. Police Commissioner Eugene “Bull” Connor orders the police to use fire hoses and dogs on demonstrators. ","John F. Kennedy"
"1963-06-12 12:00 PM","","No","Day","06/12/1963: Medgar W. Evers, NAACP field secretary for Mississ…","Medgar W. Evers, NAACP field secretary for Mississippi, is assassinated outside his home in Jackson. ","John F. Kennedy"
"1963-06-26 12:00 PM","","No","Day","06/26/1963: Speaking in West Berlin, Kennedy demonstrates his …","Speaking in West Berlin, Kennedy demonstrates his solidarity with the city, declaring “Ich bin ein Berliner.” ","John F. Kennedy"
"1963-08-28 12:00 PM","","No","Day","08/28/1963: The March on Washington attracts 250,000 demonstra…","The March on Washington attracts 250,000 demonstrators to the nation's capital in support of civil rights legislation. At the Lincoln Memorial, Martin Luther King Jr. delivers his “I Have a Dream” speech. ","John F. Kennedy"
"1963-09-15 12:00 PM","","No","Day","09/15/1963: Four young African-American girls are killed in th…","Four young African-American girls are killed in the bombing of a church in Birmingham, Alabama. ","John F. Kennedy"
"1963-10-07 12:00 PM","","No","Day","10/07/1963: Kennedy signs a limited nuclear test-ban treaty wi…","Kennedy signs a limited nuclear test-ban treaty with the Soviet Union and the United Kingdom.","John F. Kennedy"
"1963-11-01 12:00 PM","","No","Day","11/01/1963: South Vietnamese President Ngo Dinh Diem is assass…","South Vietnamese President Ngo Dinh Diem is assassinated in U.S.-supported coup. ","John F. Kennedy"
"1963-11-22 12:00 PM","","No","Day","11/22/1963: Kennedy is assassinated while riding in a motorcad…","Kennedy is assassinated while riding in a motorcade in Dallas, Texas. Lee Harvey Oswald is arrested and accused of the crime. Vice President Lyndon Baines Johnson is sworn in as the thirty-sixth President of the United States following the assassination.","John F. Kennedy"
"1963-11-24 12:00 PM","","No","Day","11/24/1963: Jack Ruby shoots and kills Lee Harvey Os…","Jack Ruby shoots and kills Lee Harvey Oswald. ","John F. Kennedy"
"1963-11-25 12:00 PM","","No","Day","11/25/1963: Kennedy is buried at Arlington National Cemetery. …","Kennedy is buried at Arlington National Cemetery. ","John F. Kennedy"
